record,record_id,species_common_name,species_abbreviation,species_scientific_name,count,lat
43042,86011224,Sooty shearwater,PUFGRI,Puffinus griseus,7,-39.5
43043,86011225,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-39.5
43044,86011225,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-39.5
43045,86011225,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-39.5
43046,86011225,Buller's mollymawk,THABUL,Thalassarche bulleri,1,-39.5
43047,86011225,Cape petrel,DAPCAP,Daption capense,15,-39.5
43048,86011225,Prion ,PACSP,Pachyptila sp,6,-39.5
43049,86011225,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,3,-39.5
43050,86011225,Sooty shearwater,PUFGRI,Puffinus griseus,3,-39.5
43051,86011225,Arctic tern,STEPAR,Sterna paradisaea,3,-39.5
43052,86011226,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-39.516666666666666
43053,86011226,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-39.516666666666666
43054,86011226,Mollymawk ,THASP,Thallassarche sp,17,-39.516666666666666
43055,86011226,Cape petrel,DAPCAP,Daption capense,6,-39.516666666666666
43056,86011226,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,60,-39.516666666666666
43057,86011226,Sooty shearwater,PUFGRI,Puffinus griseus,200,-39.516666666666666
43058,86011227,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-39.61666666666667
43059,86011227,Northern royal albatross,DIOSAN,Diomedea sanfordi,1,-39.61666666666667
43060,86011227,Salvin's mollymawk,THASAL,Thalassarche salvini,1,-39.61666666666667
43061,86011227,Grey-faced petrel,PTEMACGOU,Pterodroma macroptera  gouldi,2,-39.61666666666667
43062,86011227,Prion ,PACSP,Pachyptila sp,30,-39.61666666666667
43063,86011227,Chatham Island mollymawk,THAERE,Thalassarche eremita,1,-39.61666666666667
43064,86011228,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-39.65
43065,86011228,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,3,-39.65
43066,86011228,Buller's mollymawk,THABUL,Thalassarche bulleri,1,-39.65
43067,86011228,Salvin's mollymawk,THASAL,Thalassarche salvini,2,-39.65
43068,86011228,Grey-faced petrel,PTEMACGOU,Pterodroma macroptera  gouldi,1,-39.65
43069,86011228,Prion ,PACSP,Pachyptila sp,200,-39.65
43070,86011228,Westland petrel,PROWES,Procellaria westlandica,4,-39.65
43071,86011228,Sooty shearwater,PUFGRI,Puffinus griseus,1,-39.65
